Year,FSCALE,INJURIES,FATALITIES,LOSS,LOSS2015
1950,0,0,0,35,344.2155602
1950,1,72,0,266,2616.038257
1950,2,233,23,239,2350.500539
1950,3,192,16,113,1111.324523
1950,4,165,31,36,354.0502905
1951,0,3,0,87,793.0953462
1951,1,18,5,301,2743.927577
1951,2,101,2,268,2443.098308
1951,3,170,12,104,948.068
1951,4,232,15,28,255.2490769
1952,0,14,1,42,375.6495849
1952,1,193,3,242,2164.457132
1952,2,177,16,274,2450.66634
1952,3,368,32,160,1431.046038
1952,4,1242,195,103,921.2358868
1953,0,7,0,90,798.9337079
1953,1,39,0,440,3905.898127
1953,2,284,25,495,4394.135393
1953,3,1303,38,193,1713.268951
1953,4,2339,204,89,790.0566667
1953,5,1733,271,31,275.1882772
1954,0,3,0,114,1004.458662
1954,1,63,1,598,5269.002454
1954,2,313,8,616,5427.60119
1954,3,309,21,194,1709.341933
1954,4,96,9,48,422.9299628
1955,0,6,5,120,1061.270149
1955,1,55,2,532,4704.964328
1955,2,112,6,582,5147.160224
1955,3,110,4,145,1282.368097
1955,4,117,14,55,486.4154851
1955,5,1106,200,34,300.693209
1956,0,6,0,90,784.2474265
1956,1,54,2,504,4391.785588
1956,2,103,4,518,4513.779632
1956,3,223,10,176,1533.639412
1956,4,754,56,105,914.9553309
1956,5,292,17,5,43.56930147
1957,0,2,1,273,2302.691851
1957,1,80,2,879,7414.161673
1957,2,181,15,850,7169.553381
1957,3,670,40,326,2749.734591
1957,4,797,83,124,1045.911317
1957,5,626,109,42,354.2602847
1958,0,1,1,179,1468.02917
1958,1,42,2,639,5240.618097
1958,2,133,3,571,4682.931038
1958,3,240,18,168,1377.815087
1958,4,65,22,21,172.2268858
1958,5,74,21,7,57.40896194
1959,0,9,0,153,1246.171856
1959,1,52,1,789,6426.337216
1959,2,102,7,553,4504.137491
1959,3,212,16,174,1417.215052
1959,4,741,57,52,423.5355326
1960,0,34,0,179,1433.312264
1960,1,35,1,810,6485.938176
1960,2,129,6,634,5076.647905
1960,3,234,12,200,1601.466216
1960,4,226,22,34,272.2492568
1960,5,81,5,6,48.04398649
1961,0,4,0,154,1220.756455
1961,1,66,2,740,5865.972575
1961,2,353,8,888,7039.16709
1961,3,407,18,325,2576.271739
1961,4,304,24,57,451.8384281
1962,0,1,0,106,831.9139735
1962,1,77,3,634,4975.787351
1962,2,108,8,523,4104.632152
1962,3,326,19,148,1161.540265
1962,4,48,0,26,204.0543709
1963,0,0,0,78,604.1609804
1963,1,41,4,524,4058.722484
1963,2,154,9,592,4585.426928
1963,3,284,13,150,1161.848039
1963,4,208,9,32,247.860915
1964,0,0,0,152,1162.147871
1964,1,63,0,823,6292.419065
1964,2,233,4,840,6422.396129
1964,3,230,9,205,1567.370484
1964,4,499,50,53,405.2226129
1964,5,161,11,13,99.39422581
1965,0,6,1,186,1399.528952
1965,1,122,1,882,6636.476
1965,2,524,13,883,6644.000349
1965,3,551,20,355,2671.143968
1965,4,4680,311,193,1452.199397
1965,5,1,0,6,45.14609524
1966,0,7,0,130,950.9941358
1966,1,61,2,682,4989.061543
1966,2,151,2,533,3899.075957
1966,3,141,4,119,870.5254012
1966,4,534,12,22,160.9374691
1966,5,1658,138,34,248.7215432
1967,0,3,0,187,1327.011347
1967,1,70,2,1007,7145.991587
1967,2,305,7,941,6677.634641
1967,3,366,22,263,1866.331467
1967,4,1427,83,116,823.1728144
1968,0,11,0,172,1171.463333
1968,1,93,5,743,5060.449167
1968,2,202,6,610,4154.608333
1968,3,251,14,174,1185.085
1968,4,1468,78,59,401.8391667
1968,5,861,34,26,177.0816667
1969,0,5,0,104,671.6558038
1969,1,202,0,692,4469.094387
1969,2,199,1,560,3616.608174
1969,3,544,13,240,1549.974932
1969,4,367,52,37,238.9544687
1970,0,11,0,125,763.5856959
1970,1,58,1,756,4618.166289
1970,2,208,7,751,4587.622861
1970,3,265,7,188,1148.432887
1970,4,455,37,60,366.521134
1970,5,500,26,8,48.86948454
1971,0,8,0,250,1463.067901
1971,1,145,4,1098,6425.794222
1971,2,365,13,850,4974.430864
1971,3,440,12,293,1714.71558
1971,4,2052,141,31,181.4204198
1971,5,1020,94,20,117.0454321
1972,0,1,1,173,980.9555263
1972,1,107,2,1011,5732.636053
1972,2,415,9,749,4247.027105
1972,3,708,16,178,1009.306842
1972,4,47,5,20,113.4052632
1973,0,47,0,434,2316.787793
1973,1,187,4,1592,8498.447387
1973,2,666,18,1282,6843.598964
1973,3,879,28,336,1793.642162
1973,4,736,46,71,379.0136712
1973,5,0,0,0,0
1974,0,13,0,328,1576.908235
1974,1,362,14,1216,5846.098824
1974,2,437,12,846,4067.269412
1974,3,1281,54,455,2187.479412
1974,4,2378,149,177,850.9535294
1974,5,3115,198,38,182.6905882
1975,0,8,0,460,2026.539405
1975,1,217,8,1326,5841.720112
1975,2,303,9,792,3489.172193
1975,3,486,18,144,634.3949442
1975,4,476,26,59,259.9257063
1976,0,15,0,324,1349.622285
1976,1,154,6,1117,4652.864482
1976,2,314,11,677,2820.044095
1976,3,369,19,265,1103.857733
1976,4,318,7,77,320.7435677
1976,5,84,2,19,79.1445167
1977,0,17,0,254,993.4375908
1977,1,141,1,1358,5311.371056
1977,2,145,3,592,2315.413597
1977,3,235,14,231,903.4806436
1977,4,111,3,75,293.3378713
1977,5,130,22,7,27.37820132
1978,0,10,1,411,1494.079555
1978,1,118,19,1157,4205.961181
1978,2,239,6,517,1879.413942
1978,3,229,18,118,428.9571472
1978,4,336,11,44,159.9501227
1979,0,9,0,443,1446.260758
1979,1,80,4,1287,4201.665
1979,2,276,8,574,1873.936061
1979,3,292,13,159,519.0868182
1979,4,4208,113,73,238.3228788
1980,0,1,0,282,811.1504126
1980,1,124,4,1491,4288.742075
1980,2,291,7,772,2220.596165
1980,3,487,12,193,555.1490413
1980,4,275,5,28,80.53975728
1981,0,2,0,311,810.9162486
1981,1,62,0,994,2591.803058
1981,2,295,6,671,1749.597437
1981,3,299,15,131,341.5756546
1981,4,149,4,45,117.3351485
1982,0,6,0,609,1495.786041
1982,1,93,3,1463,3593.325088
1982,2,352,6,925,2271.924611
1982,3,389,33,365,896.489171
1982,4,448,25,62,152.2803523
1982,5,29,0,6,14.73680829
1983,0,12,2,681,1620.568042
1983,1,140,5,1401,3333.943946
1983,2,233,9,731,1739.55248
1983,3,322,16,339,806.714488
1983,4,49,2,21,49.97346386
1984,0,19,0,523,1193.069211
1984,1,158,6,1404,3202.809124
1984,2,380,5,664,1514.718845
1984,3,649,52,252,574.8631761
1984,4,1684,65,134,305.6812127
1984,5,200,9,5,11.4060154
1985,0,9,0,339,746.7357156
1985,1,98,1,861,1896.576552
1985,2,223,6,391,861.2792472
1985,3,424,32,166,365.658197
1985,4,488,67,74,163.0042565
1985,5,620,36,21,46.25796468
1986,0,10,0,345,746.0845347
1986,1,110,0,992,2145.263358
1986,2,235,11,596,1288.888066
1986,3,194,5,146,315.7343248
1986,4,12,0,35,75.6897354
1987,0,11,0,448,934.7149296
1987,1,47,2,733,1529.343847
1987,2,112,9,276,575.851162
1987,3,614,19,95,198.2096391
1987,4,471,36,19,39.64192782
1988,0,5,0,462,925.6285207
1988,1,108,3,998,1999.517887
1988,2,210,13,416,833.4663736
1988,3,203,11,133,266.4688166
1988,4,162,5,21,42.07402367
1989,0,17,0,571,1091.425056
1989,1,105,9,1123,2146.532992
1989,2,398,13,518,990.1194032
1989,3,99,1,57,108.9513629
1989,4,764,30,99,189.2313145
1990,0,30,0,685,1242.208454
1990,1,141,2,1229,2228.721446
1990,2,311,7,641,1162.416963
1990,3,91,3,244,442.4800918
1990,4,256,11,100,181.3442999
1990,5,410,31,19,34.45541699
1991,0,16,1,750,1305.159692
1991,1,175,7,1057,1839.405059
1991,2,143,4,477,830.0815639
1991,3,208,7,249,433.3130176
1991,4,121,4,40,69.60851689
1991,5,225,17,8,13.92170338
1992,0,31,0,823,1390.34206
1992,1,151,3,1576,2662.429024
1992,2,272,2,565,954.4875624
1992,3,517,16,240,405.4460442
1992,4,340,19,99,167.2464932
1992,5,35,1,7,11.82550962
1993,0,22,2,966,1584.487349
1993,1,118,4,1175,1927.300865
1993,2,274,13,409,670.8647266
1993,3,173,2,167,273.9227612
1993,4,361,12,39,63.96998616
1994,0,17,0,990,1583.311943
1994,1,113,2,1058,1692.064683
1994,2,262,7,397,634.9240823
1994,3,466,29,190,303.8679487
1994,4,290,31,34,54.37636977
1995,0,28,1,1165,1811.842552
1995,1,200,2,998,1552.119199
1995,2,307,9,435,676.5249016
1995,3,232,14,124,192.8484777
1995,4,174,7,75,116.6422244
1996,0,37,2,16.724,25.26368584
1996,1,199,1,99.888,150.8932702
1996,2,215,7,97.38,147.1046237
1996,3,284,11,358.69,541.8459384
1996,4,45,7,104,157.1049586
1996,5,12,0,39.5,59.66967177
1997,0,27,0,56.371,83.24539132
1997,1,106,7,91.452,135.0509575
1997,2,316,7,139.4,205.8577558
1997,3,212,4,156.51,231.1248017
1997,4,369,23,21.83,32.23726548
1997,5,12,27,40,59.06965732
1998,0,19,0,19.758,28.72995022
1998,1,244,2,126.733,184.2814445
1998,2,348,15,536.02,779.422407
1998,3,838,69,645.34,938.3837471
1998,4,197,9,107,155.5878466
1998,5,295,35,213.03,309.765224
1999,0,30,0,8.211,11.68155214
1999,1,158,6,73.841,105.0514544
1999,2,306,8,279.922,398.2369308
1999,3,323,15,488.34,694.7471896
1999,4,470,30,267.42,380.4506971
1999,5,583,36,1000,1422.671068
2000,0,9,0,6.044,8.318993891
2000,1,80,1,71.35,98.2065212
2000,2,126,4,51.58,70.99498757
2000,3,355,23,246.63,339.4628497
2000,4,259,13,47.5,65.37925377
2001,0,22,1,11.195,14.98252578
2001,1,130,4,408.481,546.6795098
2001,2,277,14,177.26,237.2311317
2001,3,206,22,282.82,378.5045056
2001,4,123,3,63.25,84.64892857
2002,0,5,0,9.728,12.81657241
2002,1,83,7,87.048,114.6851352
2002,2,261,16,270.401,356.2514387
2002,3,551,27,314.09,413.8113926
2002,4,155,7,199.65,263.0374878
2003,0,11,1,11.353,14.62420653
2003,1,103,3,215.119,277.1025001
2003,2,213,3,263.713,339.6981746
2003,3,467,32,271.83,350.1539734
2003,4,390,26,599.2,771.851013
2004,0,6,0,12.117,15.20346738
2004,1,102,5,86.618,108.6815167
2004,2,180,14,185.35,232.5627366
2004,3,60,12,95.2,119.4495416
2004,4,48,4,162.5,203.8923372
2005,0,0,0,14.299,17.35333376
2005,1,53,3,546.499,663.2337608
2005,2,75,4,128.58,156.0452937
2005,3,607,55,282.22,342.5035215
2005,4,40,0,31,37.62174603
2006,0,24,0,16.793,19.74318691
2006,1,107,8,74.141,87.16605852
2006,2,239,7,247.612,291.1123681
2006,3,839,56,514.182,604.5132693
2006,4,11,0,14.8,17.40005754
2007,0,14,0,10.2,11.66219682
2007,1,100,4,94.872,108.4721506
2007,2,204,20,174.896,199.9678014
2007,3,177,37,563.011,643.720107
2007,4,70,11,302.65,346.0356732
2007,5,63,11,250,285.8381573
2008,0,21,0,60.637,66.7533666
2008,1,143,4,265.302,292.0626295
2008,2,266,21,617.269,679.5320324
2008,3,762,79,585.332,644.3735933
2008,4,941,63,439.11,483.4023914
2008,5,70,9,100.3,110.4171161
2009,0,7,1,14.418,15.93152031
2009,1,90,3,99.25,109.6687051
